POPGROUP.id,POPGROUP.display-label,GEO.id,GEO.id2,GEO.display-label,HC01_VC02,HC02_VC02,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09
Id,Population Group,Id,Id2,Geography,"Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population","Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Native","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Native","Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born","Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Naturalized citizen","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Naturalized citizen","Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Not a citizen","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Not a citizen","Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Entered 1990 to March 2000","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Entered 1990 to March 2000","Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Entered 1990 to March 2000 - Naturalized citizen","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Entered 1990 to March 2000 - Naturalized citizen","Number; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Entered 1990 to March 2000 - Not a citizen","Percent; NATIVITY, CITIZENSHIP STATUS, AND YEAR OF ENTRY - Total population - Foreign born - Entered 1990 to March 2000 - Not a citizen"
1,Total population,0100000US,,United States,281421906,100,250314017,88.9,31107889,11.1,12542626,40.3,18565263,59.7,13178276,42.4,1759386,13.4,11418890,86.6
